iter	Logloss
0	0.6846918607
1	0.6758379768
2	0.6674838961
3	0.6601082919
4	0.6527347768
5	0.6453419757
6	0.6392498056
7	0.6336803012
8	0.627494258
9	0.6216393343
10	0.6164126548
11	0.6113584745
12	0.6065661445
13	0.6022828166
14	0.5978368392
15	0.5935614633
16	0.5899375166
17	0.587157631
18	0.5834130867
19	0.5803498588
20	0.5768802568
21	0.5741226963
22	0.5712857407
23	0.5695094207
24	0.5672467743
25	0.565647086
26	0.5636936855
27	0.5614859363
28	0.5592511523
29	0.5575424889
30	0.5558977354
31	0.5542937203
32	0.55277641
33	0.5518646649
34	0.5504262453
35	0.5488672476
36	0.5484080097
37	0.5469724289
38	0.5464505706
39	0.5451888332
40	0.5437440532
41	0.5426784664
42	0.5415367745
43	0.5412154572
44	0.5400486322
45	0.5397063557
46	0.5392342658
47	0.5384127082
48	0.5378218396
49	0.5369320579
50	0.5362961995
51	0.5358258824
52	0.5356026921
53	0.5347657447
54	0.5338921867
55	0.5332864383
56	0.5328562208
57	0.5326549316
58	0.5321082078
59	0.5318225108
60	0.5314517233
61	0.5307286355
62	0.5304758886
63	0.5297276825
64	0.5291514614
65	0.5290008173
66	0.5286899779
67	0.5280735163
68	0.5275970778
69	0.5274283826
70	0.526886857
71	0.5264377072
72	0.5259919303
73	0.5258195183
74	0.5254816232
75	0.525227586
76	0.5249075138
77	0.5244572196
78	0.5241161482
79	0.5239358611
80	0.5234814992
81	0.5233398915
82	0.5231734848
83	0.5228992795
84	0.5224870296
85	0.5223725277
86	0.5222211163
87	0.5220420786
88	0.5218843422
89	0.5215495935
90	0.5214533062
91	0.5213528351
92	0.5210659224
93	0.5207805764
94	0.5206191309
95	0.5204357292
96	0.5203086956
97	0.5202637227
98	0.5199401402
99	0.5195933333
100	0.5194401803
101	0.5191468238
102	0.5190452096
103	0.5189399474
104	0.5186394436
105	0.5183576938
106	0.5182342807
107	0.518108236
108	0.5179697826
109	0.5177629203
110	0.5176931842
111	0.5175436675
112	0.5174335271
113	0.5174151466
114	0.5173386439
115	0.5171330299
116	0.5170152969
117	0.5168925574
118	0.516795511
119	0.5165640125
120	0.5163450068
121	0.5161365706
122	0.5158580882
123	0.5157716584
124	0.5156996543
125	0.5154676408
126	0.5153610988
127	0.5151750205
128	0.5150577054
129	0.514838178
130	0.5147064284
131	0.5146586547
132	0.5144766403
133	0.5143291669
134	0.514159591
135	0.5139287974
136	0.5137619409
137	0.5136562609
138	0.5135552981
139	0.5134179891
140	0.51325893
141	0.5132579537
142	0.5131324628
143	0.5130000483
144	0.5129849466
145	0.5127848754
146	0.5126909199
147	0.5125747705
148	0.5124807642
149	0.5123886817
150	0.512330281
151	0.5122215363
152	0.5120203263
153	0.5120175413
154	0.5118329683
155	0.5116997457
156	0.5115604213
157	0.5114920697
158	0.5114584808
159	0.5113778515
160	0.5113645587
161	0.5111991891
162	0.5110665685
163	0.5110311518
164	0.5109637341
165	0.5109087733
166	0.5108100749
167	0.5107612678
168	0.5106944822
169	0.51056447
170	0.5104952085
171	0.5104478673
172	0.5104081822
173	0.510330352
174	0.5101529369
175	0.5100487079
176	0.5099313282
177	0.5098111383
178	0.5097346065
179	0.5096188288
180	0.5096176987
181	0.5095472483
182	0.5094812971
183	0.5094034297
184	0.5092835095
185	0.5092022047
186	0.5091226779
187	0.509023112
188	0.5089015731
189	0.5088988103
190	0.5088187435
191	0.5087387324
192	0.5087110959
193	0.5086301363
194	0.5085579958
195	0.5085078668
196	0.5084870705
197	0.5084009386
198	0.5083210631
199	0.5082917129
200	0.5081862774
201	0.5081780877
202	0.5080926883
203	0.5080616109
204	0.5079529095
205	0.5079250897
206	0.507826851
207	0.5077142306
208	0.5077094978
209	0.5076266173
210	0.5075722469
211	0.5075303468
212	0.507454392
213	0.5074024712
214	0.5073085527
215	0.5072338296
216	0.5072128287
217	0.5071488303
218	0.50708678
219	0.5070629213
220	0.5069989561
221	0.5068796069
222	0.5067900606
223	0.5067183973
224	0.5065532909
225	0.5064943339
226	0.5064211211
227	0.5063314963
228	0.5062628396
229	0.5062239964
230	0.506160674
231	0.5061114809
232	0.5060789976
233	0.5060128521
234	0.5058986751
235	0.5058593901
236	0.5058076857
237	0.5057543818
238	0.5056865113
239	0.5056503474
240	0.5056144693
241	0.5055392843
242	0.5055030579
243	0.5054517421
244	0.5054103267
245	0.505376827
246	0.5053371125
247	0.5052751652
248	0.5052105286
249	0.5051836722
250	0.5051446828
251	0.5051417535
252	0.5050775478
253	0.5049947624
254	0.5049720599
255	0.5048790622
256	0.5048207426
257	0.5047853275
258	0.504700005
259	0.5046551158
260	0.5045897217
261	0.5045497721
262	0.5045178283
263	0.504491584
264	0.5044513199
265	0.5043739013
266	0.5043580749
267	0.5043281507
268	0.504259047
269	0.5042190429
270	0.5041929335
271	0.5041920712
272	0.5041618994
273	0.504137222
274	0.5040248896
275	0.5040094657
276	0.5039670559
277	0.5039133799
278	0.5038643222
279	0.503859753
280	0.5038086873
281	0.5036969836
282	0.5036146169
283	0.5035557999
284	0.503526847
285	0.5034857191
286	0.5034156228
287	0.5033497025
288	0.5033212976
289	0.5032884578
290	0.5032579071
291	0.503255117
292	0.5032171397
293	0.5031596868
294	0.5031513845
295	0.5030923458
296	0.503044146
297	0.5029830457
298	0.5029035995
299	0.5028756633
300	0.5028188975
301	0.5027804099
302	0.5027399514
303	0.5027398591
304	0.5027161622
305	0.5026633026
306	0.5026276466
307	0.5025976663
308	0.5025384448
309	0.5024822111
310	0.5023923896
311	0.5023217903
312	0.5022652835
313	0.5022649561
314	0.5022632328
315	0.5022045075
316	0.5021690738
317	0.5021573904
318	0.5021162532
319	0.5020670834
320	0.5020567705
321	0.5019819786
322	0.501895737
323	0.5018569445
324	0.5018041784
325	0.501804174
326	0.5017607712
327	0.5017391669
328	0.5017130086
329	0.5016415985
330	0.501602431
331	0.5015555721
332	0.5015144697
333	0.5014804814
334	0.5014556778
335	0.5013987064
336	0.5013267764
337	0.5012883433
338	0.5012115688
339	0.5011629181
340	0.5011123113
341	0.5010792776
342	0.501021226
343	0.5009728831
344	0.500923807
345	0.5008936893
346	0.5008423469
347	0.5008120723
348	0.500726708
349	0.5006985599
350	0.5006625643
351	0.5006041785
352	0.5005686898
353	0.5005206498
354	0.5004627911
355	0.5004117199
356	0.5003484892
357	0.5002577294
358	0.5002189573
359	0.5001700758
360	0.5001499822
361	0.5001105501
362	0.5000440071
363	0.4999723207
364	0.4999404283
365	0.4999067248
366	0.4998601795
367	0.4998601789
368	0.4998102312
369	0.4997541263
370	0.4996569717
371	0.4996294551
372	0.499584609
373	0.4995101061
374	0.499467313
375	0.4994417281
376	0.4993835637
377	0.4993584374
378	0.4993508033
379	0.499304695
380	0.4992808947
381	0.4992213744
382	0.4991843796
383	0.499155045
384	0.4991019287
385	0.4990581726
386	0.4990413202
387	0.499000272
388	0.4989510043
389	0.4988899083
390	0.498863854
391	0.4988449076
392	0.4987955557
393	0.4987332986
394	0.4987161969
395	0.4987149922
396	0.4986861899
397	0.4986106963
398	0.4985594681
399	0.498527739
400	0.4984786186
401	0.4984644847
402	0.49843869
403	0.4984075508
404	0.498358314
405	0.4983069952
406	0.4982616894
407	0.4982190459
408	0.4981730844
409	0.4980904418
410	0.4980144802
411	0.4979616272
412	0.4979302313
413	0.4978867259
414	0.4978498047
415	0.4978081639
416	0.4978059701
417	0.4977624179
418	0.4977101117
419	0.4976582973
420	0.4976228362
421	0.4975962977
422	0.4975731294
423	0.497498882
424	0.4974985449
425	0.4974133426
426	0.4973758588
427	0.4973409784
428	0.4973058842
429	0.4972694548
430	0.4972232052
431	0.4972201786
432	0.4971347444
433	0.4970930066
434	0.4969970834
435	0.4969527591
436	0.4968500574
437	0.4968500556
438	0.4967757241
439	0.4967740922
440	0.4966807079
441	0.496620184
442	0.4965448298
443	0.4965260116
444	0.496480978
445	0.4964506505
446	0.4963973597
447	0.4963597206
448	0.4963257807
449	0.4962877803
450	0.4962522359
451	0.4961941077
452	0.4961734324
453	0.496137299
454	0.4961005373
455	0.4960469651
456	0.4960024854
457	0.4959585997
458	0.4959261902
459	0.4958792494
460	0.4958619322
461	0.4958177146
462	0.4958177136
463	0.4957966996
464	0.4957603515
465	0.4957250298
466	0.4956920091
467	0.4956218959
468	0.4956118356
469	0.4955927171
470	0.4955390765
471	0.49548199
472	0.4954599837
473	0.4954043318
474	0.4953546888
475	0.4953542885
476	0.4953255528
477	0.4952914414
478	0.4952895216
479	0.4952543796
480	0.4952195944
481	0.4951999287
482	0.4951759389
483	0.4951055641
484	0.4950591799
485	0.4950087976
486	0.4949693906
487	0.4949205449
488	0.4948797651
489	0.4948576848
490	0.4948117074
491	0.4947756828
492	0.4947470384
493	0.4947048243
494	0.4946671556
495	0.4946363778
496	0.4946190029
497	0.4945858871
498	0.4944946982
499	0.4944596245
500	0.494435268
501	0.4943880317
502	0.4943670743
503	0.4943381412
504	0.4942868847
505	0.4942523592
506	0.4942135959
507	0.4941947298
508	0.4941705126
509	0.4941106953
510	0.494082416
511	0.4940797254
512	0.4940286356
513	0.4939760192
514	0.4939408206
515	0.4939007031
516	0.4938635602
517	0.4938342321
518	0.493819676
519	0.4937858196
520	0.4937374035
521	0.4936873797
522	0.4936638819
523	0.4936271176
524	0.4935553694
525	0.4935140996
526	0.4934849705
527	0.4934843946
528	0.4934025346
529	0.4933753377
530	0.493347197
531	0.4933013808
532	0.4932541772
