iter	Passed	Remaining
0	13	13535
1	31	15923
2	67	22556
3	84	21127
4	102	20338
5	108	17947
6	124	17637
7	139	17354
8	146	16108
9	152	15090
10	169	15196
11	177	14612
12	193	14709
13	206	14536
14	223	14708
15	235	14498
16	246	14233
17	259	14162
18	270	13968
19	287	14093
20	306	14309
21	323	14362
22	339	14416
23	355	14471
24	372	14531
25	387	14521
26	403	14549
27	419	14546
28	434	14544
29	450	14579
30	467	14609
31	480	14536
32	496	14541
33	511	14536
34	527	14543
35	543	14557
36	559	14570
37	575	14562
38	590	14557
39	606	14553
40	620	14504
41	636	14508
42	651	14503
43	667	14510
44	684	14535
45	699	14512
46	715	14513
47	731	14501
48	746	14492
49	763	14508
50	779	14504
51	795	14507
52	806	14402
53	822	14406
54	839	14417
55	855	14418
56	870	14395
57	880	14304
58	896	14305
59	912	14298
60	927	14280
61	944	14286
62	961	14294
63	979	14320
64	994	14306
65	1003	14202
66	1019	14194
67	1035	14190
68	1051	14187
69	1067	14177
70	1083	14174
71	1099	14171
72	1114	14156
73	1131	14152
74	1146	14143
75	1163	14144
76	1178	14129
77	1194	14118
78	1211	14123
79	1227	14114
80	1243	14113
81	1260	14106
82	1276	14104
83	1294	14114
84	1314	14146
85	1332	14160
86	1350	14171
87	1369	14192
88	1386	14189
89	1402	14179
90	1419	14179
91	1435	14172
92	1452	14162
93	1468	14155
94	1485	14150
95	1502	14147
96	1518	14136
97	1534	14121
98	1551	14118
99	1567	14103
100	1583	14090
101	1598	14072
102	1615	14065
103	1630	14047
104	1646	14033
105	1662	14023
106	1678	14009
107	1693	13987
108	1709	13976
109	1725	13960
110	1742	13955
111	1760	13954
112	1776	13945
113	1782	13851
114	1796	13828
115	1814	13824
116	1829	13809
117	1846	13799
118	1863	13793
119	1877	13768
120	1894	13764
121	1911	13755
122	1929	13760
123	1946	13750
124	1962	13735
125	1977	13717
126	1994	13708
127	2012	13711
128	2029	13700
129	2044	13679
130	2061	13676
131	2075	13647
132	2092	13639
133	2109	13632
134	2125	13620
135	2144	13622
136	2161	13612
137	2175	13587
138	2190	13567
139	2208	13567
140	2224	13549
141	2227	13461
142	2244	13448
143	2260	13439
144	2267	13370
145	2284	13365
146	2301	13357
147	2319	13351
148	2336	13345
149	2353	13335
150	2366	13307
151	2384	13302
152	2402	13298
153	2408	13230
154	2440	13302
155	2454	13281
156	2471	13271
157	2487	13257
158	2502	13235
159	2517	13217
160	2544	13261
161	2561	13249
162	2578	13239
163	2594	13224
164	2611	13216
165	2628	13203
166	2645	13193
167	2661	13180
168	2678	13170
169	2696	13163
170	2713	13153
171	2730	13143
172	2748	13138
173	2766	13130
174	2782	13116
175	2801	13115
176	2809	13065
177	2826	13052
178	2844	13045
179	2860	13031
180	2869	12983
181	2885	12967
182	2901	12954
183	2918	12944
184	2935	12933
185	2953	12924
186	2969	12908
187	2985	12893
188	3001	12881
189	3010	12835
190	3026	12818
191	3052	12847
192	3069	12836
193	3087	12825
194	3098	12790
195	3114	12777
196	3130	12761
197	3148	12751
198	3163	12734
199	3180	12722
200	3198	12712
201	3208	12675
202	3224	12659
203	3240	12645
204	3258	12635
205	3276	12627
206	3311	12685
207	3327	12670
208	3337	12629
209	3357	12629
210	3374	12617
211	3390	12601
212	3406	12587
213	3423	12573
214	3442	12567
215	3458	12551
216	3474	12536
217	3490	12522
218	3506	12506
219	3523	12491
220	3538	12472
221	3558	12469
222	3575	12456
223	3593	12448
224	3611	12440
225	3628	12425
226	3644	12410
227	3662	12401
228	3679	12389
229	3696	12374
230	3712	12359
231	3729	12346
232	3746	12331
233	3762	12318
234	3779	12303
235	3795	12287
236	3813	12275
237	3829	12259
238	3845	12245
239	3862	12231
240	3880	12221
241	3898	12209
242	3913	12192
243	3929	12176
244	3946	12161
245	3963	12149
246	3981	12138
247	3999	12126
248	4014	12108
249	4030	12092
250	4046	12075
251	4054	12034
252	4071	12020
253	4087	12004
254	4106	11996
255	4123	11983
256	4139	11967
257	4155	11951
258	4171	11935
259	4189	11923
260	4210	11921
261	4242	11950
262	4262	11943
263	4280	11932
264	4299	11926
265	4318	11917
266	4336	11904
267	4353	11891
268	4371	11880
269	4386	11859
270	4402	11843
271	4409	11801
272	4425	11786
273	4443	11772
274	4459	11758
275	4477	11744
276	4493	11727
277	4509	11711
278	4528	11703
279	4541	11678
280	4558	11664
281	4576	11652
282	4593	11637
283	4611	11625
284	4630	11615
285	4645	11597
286	4661	11581
287	4677	11564
288	4694	11548
289	4710	11533
290	4726	11515
291	4734	11480
292	4751	11465
293	4768	11450
294	4780	11425
295	4800	11418
296	4818	11404
297	4836	11393
298	4853	11379
299	4870	11363
300	4887	11349
301	4911	11351
302	4927	11335
303	4931	11291
304	4946	11272
305	4963	11257
306	4980	11243
307	4998	11230
308	5016	11217
309	5033	11204
310	5049	11186
311	5066	11172
312	5083	11157
313	5089	11119
314	5097	11084
315	5114	11070
316	5130	11054
317	5147	11038
318	5164	11026
319	5182	11013
320	5198	10996
321	5217	10986
322	5236	10974
323	5256	10966
324	5272	10950
325	5276	10910
326	5294	10896
327	5312	10883
328	5329	10868
329	5349	10861
330	5368	10849
331	5387	10838
332	5407	10830
333	5424	10816
334	5441	10801
335	5457	10784
336	5474	10769
337	5491	10754
338	5507	10739
339	5524	10724
340	5544	10714
341	5561	10699
342	5577	10682
343	5595	10669
344	5611	10653
345	5628	10638
346	5644	10621
347	5661	10607
348	5678	10591
349	5695	10576
350	5711	10559
351	5728	10546
352	5746	10532
353	5761	10514
354	5778	10498
355	5794	10483
356	5813	10471
357	5830	10455
358	5848	10443
359	5866	10428
360	5882	10413
361	5900	10398
362	5915	10381
363	5933	10367
364	5951	10353
365	5969	10340
366	5986	10325
367	5990	10287
368	6006	10271
369	6022	10254
370	6040	10241
371	6056	10224
372	6073	10208
373	6091	10196
374	6108	10181
375	6125	10166
376	6144	10153
377	6159	10136
378	6173	10115
379	6187	10095
380	6204	10080
381	6221	10064
382	6241	10055
383	6262	10046
384	6282	10035
385	6301	10024
386	6322	10014
387	6340	10001
388	6361	9992
389	6379	9978
390	6398	9965
391	6416	9952
392	6433	9936
393	6452	9924
394	6470	9909
395	6479	9882
396	6494	9864
397	6512	9851
398	6531	9837
399	6547	9821
400	6564	9805
401	6586	9798
402	6607	9787
403	6623	9771
404	6640	9755
405	6657	9739
406	6673	9723
407	6690	9707
408	6705	9689
409	6724	9676
410	6741	9661
411	6758	9646
412	6774	9628
413	6791	9612
414	6807	9596
415	6825	9581
416	6833	9554
417	6850	9538
418	6867	9522
419	6886	9509
420	6902	9493
421	6919	9477
422	6937	9462
423	6955	9448
424	6962	9420
425	6979	9403
426	6998	9390
427	7017	9378
428	7034	9362
429	7049	9345
430	7066	9329
431	7079	9308
432	7097	9293
433	7115	9279
434	7132	9264
435	7149	9248
436	7168	9235
437	7172	9202
438	7188	9186
439	7194	9157
440	7210	9140
441	7227	9124
442	7244	9108
443	7260	9092
444	7281	9081
445	7298	9065
446	7317	9052
447	7336	9039
448	7359	9031
449	7379	9019
450	7396	9003
451	7413	8987
452	7429	8971
453	7447	8956
454	7464	8940
455	7481	8925
456	7500	8912
457	7518	8896
458	7535	8881
459	7551	8864
460	7568	8849
461	7584	8831
462	7588	8800
463	7604	8784
464	7620	8767
465	7636	8751
466	7652	8734
467	7671	8720
468	7688	8704
469	7705	8688
470	7725	8676
471	7742	8660
472	7762	8648
473	7779	8632
474	7794	8615
475	7802	8589
476	7820	8575
477	7837	8558
478	7846	8534
479	7864	8519
480	7880	8503
481	7897	8487
482	7913	8470
483	7932	8456
484	7951	8443
485	7971	8431
486	7988	8415
487	8005	8399
488	8022	8383
489	8038	8366
490	8055	8350
491	8072	8335
492	8089	8319
493	8106	8303
494	8123	8287
495	8140	8271
496	8158	8256
497	8177	8242
498	8195	8227
499	8212	8212
500	8229	8196
501	8246	8180
502	8264	8165
503	8281	8149
504	8302	8138
505	8321	8124
506	8338	8108
507	8354	8091
508	8370	8074
509	8388	8059
510	8404	8042
511	8416	8021
512	8433	8006
513	8452	7992
514	8469	7976
515	8486	7960
516	8504	7945
517	8521	7928
518	8536	7911
519	8552	7894
520	8570	7879
521	8587	7863
522	8606	7849
523	8625	7835
524	8642	7819
525	8658	7802
526	8676	7787
527	8682	7761
528	8698	7744
529	8716	7729
530	8732	7712
531	8761	7707
532	8777	7690
533	8796	7676
534	8815	7661
535	8833	7647
536	8852	7632
537	8868	7615
538	8884	7599
539	8904	7585
540	8920	7568
541	8938	7552
542	8954	7536
543	8970	7519
544	8986	7502
545	9002	7485
546	9018	7468
547	9035	7452
548	9052	7436
549	9069	7420
550	9085	7403
551	9101	7387
552	9119	7371
553	9136	7355
554	9155	7341
555	9172	7324
556	9189	7308
557	9205	7292
558	9222	7275
559	9238	7258
560	9255	7242
561	9273	7227
562	9288	7210
563	9305	7193
564	9322	7177
565	9340	7162
566	9359	7147
567	9375	7130
568	9393	7115
569	9412	7100
570	9428	7083
571	9446	7068
572	9462	7051
573	9480	7035
574	9498	7020
575	9515	7004
576	9532	6988
577	9548	6971
578	9552	6945
579	9568	6929
580	9577	6906
581	9594	6890
582	9641	6895
583	9658	6879
584	9674	6863
585	9692	6847
586	9708	6830
587	9727	6816
588	9744	6799
589	9761	6783
590	9778	6767
591	9796	6751
592	9812	6734
593	9828	6718
594	9845	6701
595	9863	6686
596	9879	6669
597	9898	6654
598	9914	6637
599	9933	6622
600	9950	6605
601	9966	6589
602	9983	6572
603	10000	6556
604	10018	6541
605	10034	6524
606	10050	6507
607	10065	6489
608	10083	6473
609	10099	6457
610	10117	6441
611	10133	6424
612	10151	6408
613	10168	6392
614	10185	6376
615	10203	6360
616	10221	6345
617	10241	6330
618	10258	6314
619	10275	6297
620	10291	6281
621	10308	6264
622	10325	6248
623	10343	6232
624	10360	6216
625	10377	6200
626	10384	6177
627	10398	6159
628	10415	6143
629	10432	6126
630	10449	6110
631	10466	6094
632	10483	6078
633	10501	6062
634	10520	6047
635	10538	6031
636	10554	6014
637	10571	5998
638	10588	5981
639	10604	5965
640	10621	5948
641	10638	5932
642	10653	5915
643	10670	5898
644	10686	5881
645	10701	5864
646	10717	5847
647	10734	5831
648	10751	5814
649	10768	5798
650	10785	5781
651	10802	5765
652	10817	5748
653	10821	5724
654	10837	5708
655	10855	5692
656	10872	5676
657	10889	5660
658	10906	5643
659	10925	5628
660	10941	5611
661	10958	5595
662	10974	5578
663	10991	5562
664	11008	5545
665	11025	5529
666	11043	5513
667	11060	5497
668	11094	5489
669	11112	5473
670	11129	5456
671	11146	5440
672	11157	5421
673	11173	5404
674	11191	5388
675	11209	5372
676	11226	5356
677	11247	5341
678	11266	5326
679	11286	5311
680	11304	5295
681	11323	5279
682	11340	5263
683	11356	5246
684	11373	5230
685	11390	5213
686	11406	5196
687	11424	5180
688	11442	5164
689	11458	5148
690	11472	5130
691	11488	5113
692	11505	5097
693	11522	5080
694	11537	5063
695	11553	5046
696	11571	5030
697	11589	5014
698	11605	4997
699	11622	4981
700	11639	4964
701	11657	4948
702	11674	4932
703	11691	4915
704	11699	4895
705	11717	4879
706	11735	4863
707	11756	4848
708	11774	4832
709	11790	4816
710	11808	4799
711	11825	4783
712	11843	4767
